tabela_id,uf_nome,sexo,variavel_nome,unidade_medida,valor,ano,trimestre,periodo_label,valor_imputado,is_outlier,indicador_tabela,valor_normalizado,faixa_rendimento,gap_salarial_pct
4093,Paraná,Feminino,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,%,31.1,2022,3,2022-T3,31.1,False,Força de trabalho e informalidade,0.722772277227723,Não se aplica,39.19
4093,Paraná,Masculino,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Mil pessoas,3341.0,2022,4,2022-T4,3341.0,False,Força de trabalho e informalidade,0.9263565891472868,Não se aplica,34.71
4093,Paraná,Feminino,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Mil pessoas,2541.0,2022,4,2022-T4,2541.0,False,Força de trabalho e informalidade,0.48338870431893677,Não se aplica,34.71
4093,Paraná,Masculino,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,%,31.5,2022,4,2022-T4,31.5,False,Força de trabalho e informalidade,0.7623762376237626,Não se aplica,34.71
4093,Paraná,Feminino,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,%,31.0,2022,4,2022-T4,31.0,False,Força de trabalho e informalidade,0.7128712871287131,Não se aplica,34.71
4093,Paraná,Masculino,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Mil pessoas,3331.0,2023,1,2023-T1,3331.0,False,Força de trabalho e informalidade,0.9208194905869324,Não se aplica,33.58
4093,Paraná,Feminino,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Mil pessoas,2465.0,2023,1,2023-T1,2465.0,False,Força de trabalho e informalidade,0.44130675526024354,Não se aplica,33.58
4093,Paraná,Masculino,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,%,33.1,2023,1,2023-T1,33.1,False,Força de trabalho e informalidade,0.9207920792079212,Não se aplica,33.58
4093,Paraná,Feminino,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,%,30.1,2023,1,2023-T1,30.1,False,Força de trabalho e informalidade,0.6237623762376243,Não se aplica,33.58
4093,Paraná,Masculino,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Mil pessoas,3355.0,2023,2,2023-T2,3355.0,False,Força de trabalho e informalidade,0.9341085271317829,Não se aplica,37.33
4093,Paraná,Feminino,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Mil pessoas,2521.0,2023,2,2023-T2,2521.0,False,Força de trabalho e informalidade,0.4723145071982281,Não se aplica,37.33
4093,Paraná,Masculino,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,%,32.4,2023,2,2023-T2,32.4,False,Força de trabalho e informalidade,0.8514851485148518,Não se aplica,37.33
4093,Paraná,Feminino,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,%,31.7,2023,2,2023-T2,31.7,False,Força de trabalho e informalidade,0.7821782178217824,Não se aplica,37.33
4093,Paraná,Masculino,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Mil pessoas,3395.0,2023,3,2023-T3,3395.0,False,Força de trabalho e informalidade,0.9562569213732005,Não se aplica,31.15
4093,Paraná,Feminino,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Mil pessoas,2512.0,2023,3,2023-T3,2512.0,False,Força de trabalho e informalidade,0.4673311184939092,Não se aplica,31.15
4093,Paraná,Masculino,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,%,32.7,2023,3,2023-T3,32.7,False,Força de trabalho e informalidade,0.881188118811882,Não se aplica,31.15
